Model,data_process,r2_5kf_mean,rmse_5kf_mean
scikit_gb,ordinal_threeXOutlier,0.9114082705038372,19722.476114912155
scikit_gb,ordinal_onlyNormalCondition,0.9347722518698026,17913.94123057475
scikit_gb,ordinal_allOutliers,0.9133037469300975,22060.491907477288
scikit_gb,dummified_threeXOutlier,0.9103385917984095,19856.202268605954
scikit_gb,dummified_onlyNormalCondition,0.933338357040965,18117.27036459563
scikit_gb,dummified_allOutliers,0.914183874930367,21953.27018108774
scikit_gb,dummifiedNoDrop_threeXOutlier,0.9098110948817244,19905.529478655142
scikit_gb,dummifiedNoDrop_onlyNormalCondition,0.9346516993601675,17922.807703707414
scikit_gb,dummifiedNoDrop_allOutliers,0.9152735854799449,21797.217046053327
scikit_gb_tuned,ordinal_threeXOutlier,0.9209953932889585,18588.95288155032
scikit_gb_tuned,ordinal_onlyNormalCondition,0.9366935659186415,17624.35535916475
scikit_gb_tuned,ordinal_allOutliers,0.9216069293550632,20968.784077341952
scikit_gb_tuned,dummified_threeXOutlier,0.9204434306995666,18689.37881490036
scikit_gb_tuned,dummified_onlyNormalCondition,0.9397103226847937,17222.610384329724
scikit_gb_tuned,dummified_allOutliers,0.9231529794403851,20747.332393772995
scikit_gb_tuned,dummifiedNoDrop_threeXOutlier,0.9201408802639813,18742.03340503499
scikit_gb_tuned,dummifiedNoDrop_onlyNormalCondition,0.9392112176007388,17275.923094952952
scikit_gb_tuned,dummifiedNoDrop_allOutliers,0.9251910440359712,20478.870901413407
