iter	RMSE
383	8199.01653
384	8185.149091
385	8172.371105
386	8163.618637
387	8151.82531
388	8138.000114
389	8125.493472
390	8113.797649
391	8106.964128
392	8100.943451
393	8099.692063
394	8089.032946
395	8078.254533
396	8069.125399
397	8050.424218
398	8040.41023
399	8027.757114
400	8011.219767
401	7994.042213
402	7978.755412
403	7965.274238
404	7958.059826
405	7942.7744
406	7931.579323
407	7919.345344
408	7902.916919
409	7890.886468
410	7885.867033
411	7874.055811
412	7866.539945
413	7854.725111
414	7844.901214
415	7830.755249
416	7819.460828
417	7803.745079
418	7796.64566
419	7792.650705
420	7778.45793
421	7759.258508
422	7758.263773
423	7747.476267
424	7745.115439
425	7734.837373
426	7721.520625
427	7708.179617
428	7703.010431
429	7698.539853
430	7689.270977
431	7676.539485
432	7664.071023
433	7654.046992
